Borough,Area,Bedrooms,Bathrooms,Size,Rent
Queens,Bayside,2 Bedroom,2 Bathroom,950,2275
Queens,Briarwood,2 Bedroom,2 Bathroom,850,1999
Queens,Central Queens,2 Bedroom,2 Bathroom,925,2250
Queens,Corona,2 Bedroom,2 Bathroom,945,2342
Queens,Elmhurst,2 Bedroom,2 Bathroom,960,2300
Queens,Flushing,2 Bedroom,2 Bathroom,920,2174
Queens,Forest Hills,2 Bedroom,2 Bathroom,1012,2500
Queens,Glendale,2 Bedroom,2 Bathroom,890,1975
Queens,Jackson Heights,2 Bedroom,2 Bathroom,975,2362
Queens,Jamaica Estates,2 Bedroom,2 Bathroom,1075,2575
Queens,Kew Gardens,2 Bedroom,2 Bathroom,1024,2100
Queens,Kew Gardens Hills,2 Bedroom,2 Bathroom,1100,2075
Queens,Long Island City,2 Bedroom,2 Bathroom,1124,4231
Queens,Maspeth,2 Bedroom,2 Bathroom,912,1998
Queens,Middle Village,2 Bedroom,2 Bathroom,924,2200
Queens,Northeast Queens,2 Bedroom,2 Bathroom,899,2100
Queens,Northwest Queens,2 Bedroom,2 Bathroom,912,2400
Queens,Northeast Queens,2 Bedroom,2 Bathroom,924,2300
Queens,Rego Park,2 Bedroom,2 Bathroom,936,2400
Queens,Ridgewood,2 Bedroom,2 Bathroom,950,2200
Queens,Rockaway All,2 Bedroom,2 Bathroom,1124,2150
Queens,South Queens,2 Bedroom,2 Bathroom,1000,2300
Queens,Sunnyside,2 Bedroom,2 Bathroom,1050,2300
Queens,Woodside,2 Bedroom,2 Bathroom,899,2200
Queens,The Rockaways,2 Bedroom,2 Bathroom,1024,2150
Brooklyn,Bedford-Stuyvesant,2 Bedroom,2 Bathroom,899,2520
Brooklyn,Bensonhurst,2 Bedroom,2 Bathroom,875,1899
Brooklyn,Boerum Hill,2 Bedroom,2 Bathroom,1112,3900
Brooklyn,Borough Park,2 Bedroom,2 Bathroom,850,1800
Brooklyn,Coney Island,2 Bedroom,2 Bathroom,925,2395
Brooklyn,Brighton Beach,2 Bedroom,2 Bathroom,950,2472
Brooklyn,Brooklyn,2 Bedroom,2 Bathroom,1012,2600
Brooklyn,Brooklyn Heights,2 Bedroom,2 Bathroom,1120,4699
Brooklyn,Brownsville,2 Bedroom,2 Bathroom,850,1825
Brooklyn,Bushwick,2 Bedroom,2 Bathroom,925,2449
Brooklyn,Canarsie,2 Bedroom,2 Bathroom,875,1899
Brooklyn,Carroll Gardens,2 Bedroom,2 Bathroom,925,3399
Brooklyn,Clinton Hill,2 Bedroom,2 Bathroom,934,3200
Brooklyn,Cobble Hill,2 Bedroom,2 Bathroom,944,3800
Brooklyn,Waterfront District,2 Bedroom,2 Bathroom,968,2999
Brooklyn,Crown Heights,2 Bedroom,2 Bathroom,975,2449
Brooklyn,DUMBO,2 Bedroom,2 Bathroom,1200,5382
Brooklyn,Ditmas Park,2 Bedroom,2 Bathroom,1012,2299
Brooklyn,Downtown Brooklyn,2 Bedroom,2 Bathroom,1150,4540
Brooklyn,Dyker Heights,2 Bedroom,2 Bathroom,950,1925
Brooklyn,East Brooklyn,2 Bedroom,2 Bathroom,1012,2475
Brooklyn,East Flatbush,2 Bedroom,2 Bathroom,950,2150
Brooklyn,East New York,2 Bedroom,2 Bathroom,920,1957
Brooklyn,Fort Greene,2 Bedroom,2 Bathroom,1075,3400
Brooklyn,Flatbush,2 Bedroom,2 Bathroom,925,2200
Brooklyn,Gowanus,2 Bedroom,2 Bathroom,1012,2825
Brooklyn,Gravesend,2 Bedroom,2 Bathroom,975,1995
Brooklyn,Greenpoint,2 Bedroom,2 Bathroom,1090,2950
Brooklyn,Greenwood,2 Bedroom,2 Bathroom,1000,2477
Bronx,Highbridge,2 Bedroom,2 Bathroom,875,1850
Brooklyn,Midwood,2 Bedroom,2 Bathroom,912,2000
Brooklyn,North Brooklyn,2 Bedroom,2 Bathroom,1025,3000
Brooklyn,Northwest Brooklyn,2 Bedroom,2 Bathroom,1112,3505
Brooklyn,Ocean Parkway,2 Bedroom,2 Bathroom,999,2197
Brooklyn,Park Slope,2 Bedroom,2 Bathroom,1099,3200
Brooklyn,Prospect Heights,2 Bedroom,2 Bathroom,1114,3300
Brooklyn,Prospect Lefferts Gardens,2 Bedroom,2 Bathroom,925,2426
Brooklyn,Prospect Park,2 Bedroom,2 Bathroom,975,2910
Brooklyn,Prospect Park South,2 Bedroom,2 Bathroom,925,2337
Brooklyn,Sunset Park,2 Bedroom,2 Bathroom,910,1997
Brooklyn,Red Hook,2 Bedroom,2 Bathroom,1012,2700
Brooklyn,Sheepshead Bay,2 Bedroom,2 Bathroom,950,2150
Brooklyn,South Brooklyn,2 Bedroom,2 Bathroom,950,2195
Brooklyn,Bath Beach,2 Bedroom,2 Bathroom,924,1800
Brooklyn,Bay Ridge,2 Bedroom,2 Bathroom,975,2200
Brooklyn,Kensington,2 Bedroom,2 Bathroom,970,2300
Brooklyn,Williamsburg,2 Bedroom,2 Bathroom,1060,3000
Brooklyn,Windsor Terrace,2 Bedroom,2 Bathroom,1002,2899
Bronx,Kingsbridge,2 Bedroom,2 Bathroom,960,1950
Bronx,Kingsbridge,2 Bedroom,2 Bathroom,960,1950
Bronx,Kingsbridge,2 Bedroom,2 Bathroom,960,1950
Bronx,Kingsbridge,2 Bedroom,2 Bathroom,960,1950
Bronx,Morris Park,2 Bedroom,2 Bathroom,960,2025
Bronx,Mott Haven,2 Bedroom,2 Bathroom,940,2237
Bronx,Norwood,2 Bedroom,2 Bathroom,920,1950
Bronx,Tremont,2 Bedroom,2 Bathroom,900,1850
Bronx,Woodstock,2 Bedroom,2 Bathroom,875,1787
Bronx,Riverdale,2 Bedroom,2 Bathroom,999,2383
Bronx,Norwood,2 Bedroom,2 Bathroom,924,1950
Bronx,Tremont,2 Bedroom,2 Bathroom,912,1850
Bronx,Woodstock,2 Bedroom,2 Bathroom,899,1787
Bronx,Riverdale,2 Bedroom,2 Bathroom,964,2383
Staten Island,Dongan Hills,2 Bedroom,2 Bathroom,1000,2250
Staten Island,Elm Park,2 Bedroom,2 Bathroom,940,2350
Staten Island,Graniteville,2 Bedroom,2 Bathroom,950,2400
Staten Island,Fort Wadsworth,2 Bedroom,2 Bathroom,910,2350
Staten Island,Grasmere,2 Bedroom,2 Bathroom,920,2350
Staten Island,Dongan Hills,2 Bedroom,2 Bathroom,950,2250
Staten Island,Elm Park,2 Bedroom,2 Bathroom,1000,2350
Staten Island,Graniteville,2 Bedroom,2 Bathroom,940,2400
Staten Island,Fort Wadsworth,2 Bedroom,2 Bathroom,950,2350
Staten Island,Grasmere,2 Bedroom,2 Bathroom,910,2350
Staten Island,Dongan Hills,2 Bedroom,2 Bathroom,920,2250
Staten Island,Elm Park,2 Bedroom,2 Bathroom,950,2350
Staten Island,Graniteville,2 Bedroom,2 Bathroom,922,2400
Staten Island,Fort Wadsworth,2 Bedroom,2 Bathroom,944,2350
Staten Island,Grasmere,2 Bedroom,2 Bathroom,984,2350
